year,soc_code,occupation,measure,value
2024,31-1120,Home Health and Personal Care Aides,employment,314610.0
2024,31-1120,Home Health and Personal Care Aides,hourly_mean,12.19
2024,31-1120,Home Health and Personal Care Aides,annual_mean,25350.0
2024,31-1120,Home Health and Personal Care Aides,pct10_hourly,9.88
2024,31-1120,Home Health and Personal Care Aides,pct25_hourly,10.62
2024,31-1120,Home Health and Personal Care Aides,median_hourly,11.29
2024,31-1131,Nursing Assistants,employment,87050.0
2024,31-1131,Nursing Assistants,hourly_mean,17.79
2024,31-1131,Nursing Assistants,annual_mean,37010.0
2024,39-9011,Childcare Workers,hourly_mean,14.03
2024,39-9011,Childcare Workers,annual_mean,29170.0
