provider_type,state_fiscal_year,estimated_program_size,source
Community Care,2019,111886958,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Community Care,2020,133213666,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Community Care,2021,135193874,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Community Care,2022,129986526,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Community Care,2023,157641842,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Community Care,2024,163285145,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2019,11922770,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2020,13738973,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2021,48050497,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2022,52512594,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2023,48089033,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
IDD Providers,2024,67623973,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2019,74981201,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2020,91504971,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2021,65036165,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2022,56227146,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2023,42390182,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
Nursing Facility,2024,75350493,"HHSC Rate Enhancement Evaluation Oct 2024, Table 1"
