effective_date,federal_minimum_wage,attendant_base_wage,legislative_citation
2000-09-01,5.15,5.15,
2007-07-24,5.85,5.15,
2007-08-01,5.85,5.85,
2008-07-24,6.55,5.85,
2008-08-01,6.55,6.55,
2009-07-24,7.25,6.55,
2009-08-01,7.25,7.25,
2013-09-01,7.25,7.5,"S.B. 1, 83rd Leg, 2013, Art II Sec 61"
2014-09-01,7.25,7.86,"S.B. 1, 83rd Leg, 2013, Art II Sec 61"
2015-09-01,7.25,8.0,"H.B. 1, 84th Leg, 2015, Art II Sec 47"
2019-09-01,7.25,8.11,"H.B. 1, 86th Leg, 2019, Art II Rider 45"
2023-09-01,7.25,10.6,"S.B. 1, 88th Leg, 2023, Art II Rider 30(a)"
