level_of_need,facility_size,average_individuals_served_per_month,monthly_average_cost_per_individual
1,SMALL,999,4232.1
1,MEDIUM,146,3450.14
1,LARGE,5,3197.95
1,ALL,1150,4128.24
5,SMALL,2108,4816.69
5,MEDIUM,225,4024.07
5,LARGE,40,3590.16
5,ALL,2373,4720.67
8,SMALL,502,5548.81
8,MEDIUM,27,4737.08
8,LARGE,15,4093.89
8,ALL,544,5469.98
6,SMALL,176,6954.12
6,MEDIUM,2,5806.61
6,LARGE,1,6072.88
6,ALL,179,6936.85
9,SMALL,15,12033.32
9,MEDIUM,1,11874.1
9,LARGE,2,11370.21
9,ALL,18,11964.94
ALL,SMALL,3800,4888.03
ALL,MEDIUM,401,3882.11
ALL,LARGE,63,3930.72
ALL,ALL,4264,4779.48
