fiscal_year,setting,metric,monthly_average_cost,source_file
2023,STATE_OPERATED_ICF_IID_SSLC,long_term_care_cost_average,21443.99,cost-comparison-report-aug-2024.txt
2023,STATE_OPERATED_ICF_IID_SSLC,administrative_overhead_costs,8005.0,cost-comparison-report-aug-2024.txt
2023,STATE_OPERATED_ICF_IID_SSLC,total_costs,29448.99,cost-comparison-report-aug-2024.txt
2023,COMMUNITY_ICF_IID,long_term_care_cost_average,4779.48,cost-comparison-report-aug-2024.txt
2023,COMMUNITY_ICF_IID,acute_care_cost_average,468.04,cost-comparison-report-aug-2024.txt
2023,COMMUNITY_ICF_IID,total_costs,5247.52,cost-comparison-report-aug-2024.txt
2023,HCS_RESIDENTIAL,long_term_care_cost_average,5611.65,cost-comparison-report-aug-2024.txt
2023,HCS_RESIDENTIAL,acute_care_cost_average,952.26,cost-comparison-report-aug-2024.txt
2023,HCS_RESIDENTIAL,total_costs,6563.91,cost-comparison-report-aug-2024.txt
2023,HCS_NON_RESIDENTIAL,long_term_care_cost_average,2963.99,cost-comparison-report-aug-2024.txt
2023,HCS_NON_RESIDENTIAL,acute_care_cost_average,709.1,cost-comparison-report-aug-2024.txt
2023,HCS_NON_RESIDENTIAL,total_costs,3673.09,cost-comparison-report-aug-2024.txt
2023,HCS_ALL_SETTINGS,long_term_care_cost_average,3775.52,cost-comparison-report-aug-2024.txt
2023,HCS_ALL_SETTINGS,acute_care_cost_average,783.63,cost-comparison-report-aug-2024.txt
2023,HCS_ALL_SETTINGS,total_costs,4559.15,cost-comparison-report-aug-2024.txt
2023,TXHML,long_term_care_cost_average,2201.02,cost-comparison-report-aug-2024.txt
2023,TXHML,acute_care_cost_average,748.34,cost-comparison-report-aug-2024.txt
2023,TXHML,total_costs,2949.36,cost-comparison-report-aug-2024.txt
